JORNADA,FECHA,LUCHADA,DOBLE,RESULTADO,ALEJANDRO,FABIÁN,ALFREDO,SERGIO,IVÁN,FRAN,ÓSCAR,MANOLÍN
1,05-07 FEB,U. ANTIGUA - SALADAR,NO,12-11,12-11,11-12,12-10,12-11,11-12,12-10,12-11,12-10
1,05-07 FEB,MAXORATA - TAZACORTE,SI,10-12,11-12,10-12,12-11,11-12,12-10,11-12,10-12,12-11
1,05-07 FEB,BEDIESTA - ARIDANE,NO,11-12,12-11,11-12,12-12,10-12,11-12,11-12,12-11,11-12
1,05-07 FEB,TAZACORTE - U. TETIR,NO,12-10,12-10,11-12,12-11,12-10,11-12,12-11,11-12,12-11
1,05-07 FEB,CANDELARIA - TEDOTE,NO,11-12,12-11,12-12,12-11,11-12,12-11,12-10,11-12,12-10
1,05-07 FEB,GUAMASA - ROSARIO VALLE GUERRA,NO,12-11,11-12,12-10,12-11,12-12,11-12,12-11,12-10,12-11
1,05-07 FEB,VICTORIA - CHIMBESQUE,NO,11-12,12-11,12-10,12-12,12-11,12-12,11-12,12-11,12-11
1,05-07 FEB,ALMOGARÉN - CASTRO MORALES,NO,12-12,12-11,12-12,12-11,12-12,12-11,12-12,12-11,12-12
1,05-07 FEB,TEGUESTE - CAMPITOS,NO,11-12,12-11,12-12,11-12,12-11,12-12,12-11,12-10,12-11
1,05-07 FEB,ROSARIO - BEDIESTA,NO,12-10,12-11,11-12,12-11,12-10,12-11,12-12,11-12,12-10
2,12-14 FEB,U. ANTIGUA - MAXORATA,NO,12-11,11-12,12-10,12-11,12-12,11-12,12-11,12-10,12-11
2,12-14 FEB,SALADAR - TAZACORTE,SI,12-10,12-11,11-12,12-11,12-10,12-11,12-12,11-12,12-10
2,12-14 FEB,BEDIESTA - CANDELARIA,NO,11-12,12-11,12-12,12-11,11-12,12-11,12-10,11-12,12-10
2,12-14 FEB,ARIDANE - TEDOTE,NO,12-11,11-12,12-10,12-11,12-12,11-12,12-11,12-10,12-11
2,12-14 FEB,GUAMASA - VICTORIA,NO,11-12,12-11,12-10,12-12,12-11,12-12,11-12,12-11,12-11
2,12-14 FEB,CHIMBESQUE - ROSARIO VALLE GUERRA,NO,12-12,12-11,12-12,12-11,12-12,12-11,12-12,12-11,12-12
2,12-14 FEB,ALMOGARÉN - TEGUESTE,NO,11-12,12-11,12-12,11-12,12-11,12-12,12-11,12-10,12-11
2,12-14 FEB,CASTRO MORALES - CAMPITOS,NO,12-10,12-11,11-12,12-11,12-10,12-11,12-12,11-12,12-10
2,12-14 FEB,U. GÁLDAR - BEDIESTA,NO,12-11,11-12,12-10,12-11,12-12,11-12,12-11,12-10,12-11
2,12-14 FEB,TAZACORTE - CANDELARIA,NO,11-12,12-11,12-12,12-11,11-12,12-11,12-10,11-12,12-10
3,19-21 FEB,SALADAR - ROSARIO,,,,,,,,,,
3,19-21 FEB,MAXORATA - U. ANTIGUA,,,,,,,,,,
3,19-21 FEB,BEDIESTA - TAZACORTE,,,,,,,,,,
3,19-21 FEB,ARIDANE - CANDELARIA,,,,,,,,,,
3,19-21 FEB,TAMANCA - TEDOTE,,,,,,,,,,
3,19-21 FEB,GUAMASA - ROSARIO VALLE GUERRA,,,,,,,,,,
3,19-21 FEB,TEGUESTE - CAMPITOS,,,,,,,,,,
3,19-21 FEB,VICTORIA - CHIMBESQUE,,,,,,,,,,
3,19-21 FEB,ALMOGARÉN - U. GÁLDAR,,,,,,,,,,
3,19-21 FEB,CASTILLO - CASTRO MORALES,,,,,,,,,,
